,uniprot_id,gene_name,locations,go_locations,type,transmembrane_num
10,Q9NPC3,CCNB1IP1,,"c:synaptonemal complex, f:identical protein binding, f:metal ion binding, f:ubiquitin protein ligase activity, p:blastocyst formation, p:chiasma assembly, p:reciprocal meiotic recombination, p:spermatid development",RING,
11,Q99675,CGRRF1,"nucleus, endoplasmic reticulum","c:endoplasmic reticulum, c:intracellular membrane-bounded organelle, c:nucleoplasm, f:metal ion binding, p:cell cycle, p:negative regulation of cell growth, p:negative regulation of cell population proliferation",RING,
12,P38398,BRCA1,"nucleus, chromosome, cytoplasm, cytoplasm","c:brca1-a complex, c:brca1-b complex, c:brca1-bard1 complex, c:brca1-c complex, c:chromosome, c:cytoplasm, c:dna repair complex, c:gamma-tubulin large complex, c:lateral element, c:nuclear body, c:nuclear ubiquitin ligase complex, c:nucleoplasm, c:nucleus, c:plasma membrane, c:protein-containing complex, c:ribonucleoprotein complex, c:ubiquitin ligase complex, f:damaged dna binding, f:dna binding, f:enzyme binding, f:rna binding, f:rna polymerase binding, f:transcription cis-regulatory region binding, f:transcription coactivator activity, f:tubulin binding, f:ubiquitin protein ligase binding, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:cellular response to dna damage stimulus, p:cellular response to indole-3-methanol, p:cellular response to ionizing radiation, p:cellular response to tumor necrosis factor, p:centrosome cycle, p:chordate embryonic development, p:chromosome segregation, p:dosage compensation by inactivation of x chromosome, p:double-strand break repair, p:double-strand break repair via homologous recombination, p:fatty acid biosynthetic process, p:intrinsic apoptotic signaling pathway in response to dna damage, p:mitotic g2 dna damage checkpoint signaling, p:negative regulation of centriole replication, p:negative regulation of extrinsic apoptotic signaling pathway via death domain receptors, p:negative regulation of fatty acid biosynthetic process, p:negative regulation of histone acetylation, p:negative regulation of histone h3-k4 methylation, p:negative regulation of histone h3-k9 methylation, p:negative regulation of intracellular estrogen receptor signaling pathway, p:negative regulation of reactive oxygen species metabolic process, p:negative regulation of transcription, dna-templated, p:positive regulation of angiogenesis, p:positive regulation of dna repair, p:positive regulation of gene expression, p:positive regulation of histone acetylation, p:positive regulation of histone h3-k4 methylation, p:positive regulation of histone h3-k9 acetylation, p:positive regulation of histone h3-k9 methylation, p:positive regulation of histone h4-k16 acetylation, p:positive regulation of histone h4-k20 methylation, p:positive regulation of protein ubiquitination, p:positive regulation of transcription by rna polymerase ii, p:positive regulation of transcription, dna-templated, p:positive regulation of vascular endothelial growth factor production, p:postreplication repair, p:protein autoubiquitination, p:protein k6-linked ubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of cell cycle, p:regulation of dna methylation, p:regulation of gene expression by genetic imprinting, p:regulation of transcription by rna polymerase ii, p:response to estrogen, p:response to ionizing radiation",RING,
13,Q5T197,DCST1,cell membrane,"c:integral component of membrane, c:plasma membrane, f:metal ion binding, f:ubiquitin protein ligase activity, p:innate immune response, p:negative regulation of type i interferon-mediated signaling pathway, p:ubiquitin-dependent protein catabolic process",RING,6.0
14,Q8TDB6,DTX3L,"cytoplasm, nucleus, early endosome membrane, lysosome membrane","c:cytoplasm, c:cytosol, c:early endosome membrane, c:lysosomal membrane, c:lysosome, c:nucleoplasm, c:nucleus, c:protein-containing complex, f:enzyme activator activity, f:enzyme binding, f:enzyme inhibitor activity, f:histone binding, f:metal ion binding, f:stat family protein binding, f:ubiquitin protein ligase activity, f:ubiquitin-like protein ligase binding, f:ubiquitin-protein transferase activity, p:cellular response to dna damage stimulus, p:chromatin organization, p:defense response to virus, p:double-strand break repair, p:endosome to lysosome transport, p:histone h2a ubiquitination, p:histone h2b ubiquitination, p:histone monoubiquitination, p:innate immune response, p:negative regulation of ubiquitin-protein transferase activity, p:notch signaling pathway, p:positive regulation of chromatin binding, p:positive regulation of defense response to virus by host, p:positive regulation of double-strand break repair via nonhomologous end joining, p:positive regulation of nad+ adp-ribosyltransferase activity, p:positive regulation of protein binding, p:positive regulation of protein localization to early endosome, p:positive regulation of protein localization to nucleus, p:positive regulation of receptor catabolic process, p:positive regulation of transcription, dna-templated, p:protein autoubiquitination, p:protein k48-linked ubiquitination, p:protein transport, p:protein ubiquitination, p:ubiquitin-dependent protein catabolic process",RING,
15,Q7L622,G2E3,"nucleus, nucleolus, cytoplasm","c:cytosol, c:golgi apparatus, c:intracellular membrane-bounded organelle, c:nucleolus, c:nucleus, f:metal ion binding, f:ubiquitin-protein transferase activity, p:apoptotic process",HECTc,
16,Q8IYU2,HACE1,,"c:cytoplasm, c:endoplasmic reticulum, c:golgi cisterna membrane, c:golgi membrane, c:nuclear body, c:nucleus, f:small gtpase binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:cell cycle, p:golgi organization, p:membrane fusion, p:positive regulation of protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein k48-linked ubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:rac protein signal transduction, p:regulation of cell migration, p:ubiquitin-dependent protein catabolic process",HECTc,
17,Q86UW9,DTX2,"cytoplasm, nucleus","c:cytoplasm, c:nuclear membrane, c:nucleoplasm, f:ubiquitin protein ligase activity, f:zinc ion binding, p:notch signaling pathway, p:protein ubiquitination",RING,
18,Q9ULT8,HECTD1,,"f:metal ion binding, f:ubiquitin protein ligase activity, p:anatomical structure development, p:aorta development, p:heart valve development, p:natural killer cell differentiation, p:negative regulation of protein localization to plasma membrane, p:neural tube closure, p:positive regulation of proteasomal ubiquitin-dependent protein catabolic process, p:protein autoubiquitination, p:protein k63-linked ubiquitination, p:spongiotrophoblast differentiation, p:trophoblast giant cell differentiation, p:ventricular septum development",HECTc,
19,Q9P2P5,HECW2,"cytoplasm, cytoplasm, cytoskeleton, spindle","c:cytoplasm, c:mitotic spindle, f:ubiquitin protein ligase activity, p:negative regulation of sodium ion transmembrane transporter activity, p:positive regulation of protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of dendrite morphogenesis, p:regulation of mitotic metaphase/anaphase transition",HECTc,
20,Q15034,HERC3,,"c:cytoplasmic vesicle, c:cytosol, f:ubiquitin-protein transferase activity",HECTc,
21,Q9NW38,FANCL,,"c:cytoplasm, c:fanconi anaemia nuclear complex, c:intracellular membrane-bounded organelle, c:nuclear body, c:nuclear envelope, c:nucleoplasm, c:nucleus, f:metal ion binding, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, f:ubiquitin-protein transferase activity, p:cellular response to dna damage stimulus, p:dna repair, p:gamete generation, p:interstrand cross-link repair, p:protein monoubiquitination, p:regulation of cell population proliferation",RING,
22,Q9Y4D8,HECTD4,membrane,"c:integral component of membrane, f:ubiquitin-protein transferase activity, p:glucose homeostasis, p:glucose metabolic process",HECTc,1.0
23,Q76N89,HECW1,cytoplasm,"c:cytoplasm, c:cytosol, f:ubiquitin protein ligase activity, p:negative regulation of canonical wnt signaling pathway, p:negative regulation of sodium ion transmembrane transporter activity, p:positive regulation of protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of dendrite morphogenesis",HECTc,
24,Q15751,HERC1,,"c:cytoplasm, c:cytosol, c:golgi apparatus, c:membrane, f:guanyl-nucleotide exchange factor activity, f:ubiquitin-protein transferase activity, p:cerebellar purkinje cell differentiation, p:negative regulation of autophagy, p:neuromuscular process controlling balance, p:neuron projection development",HECTc,
25,O95714,HERC2,,"c:centriole, c:cytoplasm, c:cytosol, c:membrane, c:nucleoplasm, c:nucleus, c:plasma membrane, f:guanyl-nucleotide exchange factor activity, f:sumo binding, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, f:zinc ion binding, p:cellular response to dna damage stimulus, p:dna repair, p:intracellular protein transport, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein ubiquitination, p:spermatogenesis",HECTc,
26,Q14527,HLTF,"cytoplasm, nucleus, nucleus, nucleolus, nucleus, nucleoplasm","c:cytoplasm, c:membrane, c:nucleolus, c:nucleoplasm, c:nucleus, c:rna polymerase ii transcription regulator complex, f:atp binding, f:atp-dependent activity, acting on dna, f:dna binding, f:helicase activity, f:hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides, f:rna binding, f:ubiquitin protein ligase activity, f:ubiquitin protein ligase binding, f:zinc ion binding, p:chromatin organization, p:mrna transcription by rna polymerase ii, p:positive regulation of transcription by rna polymerase ii, p:protein ubiquitination, p:regulation of neurogenesis",RING,
27,Q9P0J7,KCMF1,,"c:cytosol, c:extracellular region, c:ficolin-1-rich granule lumen, c:plasma membrane, c:synapse, f:ubiquitin protein ligase activity, f:zinc ion binding, p:synaptic signaling",RING,
28,Q9H1B7,IRF2BPL,nucleus,"c:extracellular space, c:nucleoplasm, c:nucleus, f:metal ion binding, f:transcription corepressor activity, f:ubiquitin protein ligase activity, p:development of secondary female sexual characteristics, p:negative regulation of transcription by rna polymerase ii, p:nervous system development, p:positive regulation of transcription by rna polymerase ii, p:regulation of transcription by rna polymerase ii",RING,
29,Q7Z6Z7,HUWE1,"cytoplasm, nucleus, mitochondrion","c:cytoplasm, c:cytosol, c:extracellular exosome, c:extracellular region, c:ficolin-1-rich granule lumen, c:golgi membrane, c:membrane, c:mitochondrion, c:nucleoplasm, c:nucleus, c:secretory granule lumen, f:dna binding, f:rna binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:base-excision repair, p:cell differentiation, p:circadian regulation of gene expression, p:golgi organization, p:histone ubiquitination, p:membrane fusion, p:negative regulation of mitochondrial fusion, p:positive regulation of mitophagy in response to mitochondrial depolarization, p:positive regulation of protein catabolic process, p:positive regulation of protein targeting to mitochondrion, p:positive regulation of protein ubiquitination, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein monoubiquitination, p:protein polyubiquitination, p:protein ubiquitination",HECTc,
30,Q96J02,ITCH,"cell membrane, cytoplasm, nucleus, early endosome membrane, endosome membrane","c:cell cortex, c:cytoplasm, c:cytoplasmic vesicle, c:cytosol, c:early endosome membrane, c:extracellular exosome, c:intracellular membrane-bounded organelle, c:membrane, c:nucleoplasm, c:plasma membrane, c:protein-containing complex, f:arrestin family protein binding, f:cxcr chemokine receptor binding, f:ligase activity, f:ribonucleoprotein complex binding, f:ubiquitin protein ligase activity, f:ubiquitin-like protein ligase binding, f:ubiquitin-like protein transferase activity, f:ubiquitin-protein transferase activity, p:apoptotic process, p:defense response to virus, p:inflammatory response, p:innate immune response, p:negative regulation of alpha-beta t cell proliferation, p:negative regulation of apoptotic process, p:negative regulation of defense response to virus, p:negative regulation of jnk cascade, p:negative regulation of nf-kappab transcription factor activity, p:negative regulation of type i interferon production, p:nucleotide-binding oligomerization domain containing signaling pathway, p:positive regulation of protein catabolic process, p:positive regulation of receptor catabolic process, p:positive regulation of t cell anergy, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein autoubiquitination, p:protein k29-linked ubiquitination, p:protein k48-linked ubiquitination, p:protein k63-linked ubiquitination, p:protein polyubiquitination, p:protein ubiquitination, p:regulation of cell growth, p:regulation of hematopoietic stem cell differentiation, p:regulation of protein deubiquitination, p:ubiquitin-dependent protein catabolic process, p:viral entry into host cell",HECTc,
31,Q7L5Y9,MAEA,"cytoplasm, nucleus, nucleoplasm, nucleus matrix, cell membrane, cytoplasm, cytoskeleton","c:actomyosin contractile ring, c:cytoplasm, c:cytoskeleton, c:gid complex, c:integral component of plasma membrane, c:nuclear matrix, c:nucleoplasm, c:nucleus, c:spindle, c:ubiquitin ligase complex, f:actin binding, f:metal ion binding, f:ubiquitin protein ligase activity, p:cell adhesion, p:cell cycle, p:cell division, p:cytoskeleton organization, p:enucleate erythrocyte development, p:erythrocyte maturation, p:negative regulation of myeloid cell apoptotic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:regulation of mitotic cell cycle",RING,
32,Q6UWE0,LRSAM1,cytoplasm,"c:cytoplasm, c:cytosol, c:membrane, f:metal ion binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:autophagy, p:negative regulation of endocytosis, p:positive regulation of autophagosome assembly, p:positive regulation of xenophagy, p:protein autoubiquitination, p:protein catabolic process, p:protein polyubiquitination, p:ubiquitin-dependent endocytosis, p:viral budding",RING,
33,Q8TCQ1,MARCHF1,"golgi apparatus, trans-golgi network membrane, lysosome membrane, cytoplasmic vesicle membrane, late endosome membrane, early endosome membrane, cell membrane","c:cytoplasm, c:early endosome membrane, c:endoplasmic reticulum membrane, c:endosome, c:integral component of membrane, c:late endosome membrane, c:lysosomal membrane, c:lysosome, c:plasma membrane, c:trans-golgi network membrane, f:mhc protein binding, f:ubiquitin protein ligase activity, f:zinc ion binding, p:antigen processing and presentation of peptide antigen via mhc class ii, p:immune response, p:protein polyubiquitination",RING,2.0
34,Q9P0N8,MARCHF2,"endoplasmic reticulum membrane, lysosome membrane, endosome membrane, golgi apparatus membrane, cytoplasm, cell membrane","c:cytoplasm, c:cytoplasmic vesicle, c:cytosol, c:endoplasmic reticulum, c:endoplasmic reticulum membrane, c:endosome membrane, c:golgi membrane, c:integral component of membrane, c:lysosomal membrane, c:plasma membrane, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:antibacterial innate immune response, p:antiviral innate immune response, p:endocytosis, p:positive regulation of lysosomal protein catabolic process, p:protein ubiquitination, p:suppression of viral release by host",RING,2.0
35,Q9P2E8,MARCHF4,golgi apparatus membrane,"c:golgi membrane, c:golgi stack, c:integral component of membrane, c:trans-golgi network, f:ubiquitin-protein transferase activity, f:zinc ion binding",RING,2.0
36,Q86UD3,MARCHF3,"cytoplasmic vesicle membrane, early endosome membrane","c:early endosome membrane, c:endosome, c:integral component of membrane, c:intracellular membrane-bounded organelle, c:lysosome, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:endocytosis, p:protein ubiquitination",RING,2.0
37,A6NNE9,MARCHF11,cytoplasmic vesicle membrane,"c:cytoplasmic vesicle membrane, c:integral component of membrane, f:transferase activity, f:zinc ion binding, p:protein ubiquitination",RING,2.0
38,O60337,MARCHF6,endoplasmic reticulum membrane,"c:endoplasmic reticulum, c:endoplasmic reticulum membrane, c:endoplasmic reticulum quality control compartment, c:er ubiquitin ligase complex, c:integral component of endoplasmic reticulum membrane, c:integral component of membrane, c:membrane, f:enzyme binding, f:ubiquitin conjugating enzyme binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:ubiquitin-specific protease binding, f:zinc ion binding, p:endoplasmic reticulum mannose trimming, p:erad pathway, p:proteasomal protein catabolic process, p:proteasome-mediated ubiquitin-dependent protein catabolic process, p:protein k48-linked ubiquitination, p:protein ubiquitination, p:ubiquitin-dependent erad pathway",RING,14.0
39,Q9H992,MARCHF7,,"c:cytosol, c:nucleus, c:plasma membrane, f:mdm2/mdm4 family protein binding, f:transferase activity, f:ubiquitin binding, f:ubiquitin conjugating enzyme binding, f:zinc ion binding, p:negative regulation of dna damage response, signal transduction by p53 class mediator, p:negative regulation of intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator, p:negative regulation of proteasomal protein catabolic process, p:negative regulation of protein autoubiquitination, p:negative regulation of t cell proliferation, p:positive regulation of cell population proliferation, p:positive regulation of protein polyubiquitination, p:protein autoubiquitination, p:protein monoubiquitination, p:protein stabilization, p:regulation of tolerance induction",RING,
40,Q5T0T0,MARCHF8,"cytoplasmic vesicle membrane, lysosome membrane, early endosome membrane","c:cytoplasm, c:early endosome membrane, c:endosome, c:integral component of membrane, c:late endosome membrane, c:lysosomal membrane, c:lysosome, f:mhc protein binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:adaptive immune response, p:antigen processing and presentation of peptide antigen via mhc class ii, p:immune response, p:protein polyubiquitination",RING,2.0
41,Q9NX47,MARCHF5,"mitochondrion outer membrane, endoplasmic reticulum membrane","c:endoplasmic reticulum, c:endoplasmic reticulum membrane, c:integral component of membrane, c:membrane, c:mitochondrial outer membrane, c:mitochondrion, f:gtpase binding, f:ubiquitin protein ligase activity, f:zinc ion binding, p:negative regulation of cell aging, p:positive regulation of mitochondrial fission, p:protein autoubiquitination, p:protein localization to mitochondrion, p:protein polyubiquitination, p:regulation of mitochondrial fission",RING,4.0
42,Q86YJ5,MARCHF9,"golgi apparatus membrane, lysosome membrane","c:golgi membrane, c:golgi stack, c:integral component of membrane, c:lysosomal membrane, c:trans-golgi network, f:transferase activity, f:zinc ion binding, p:protein ubiquitination",RING,2.0
43,O15151,MDM4,,"c:nucleoplasm, c:nucleus, c:transcription repressor complex, f:enzyme binding, f:p53 binding, f:zinc ion binding, p:atrial septum development, p:atrioventricular valve morphogenesis, p:cellular response to hypoxia, p:dna damage response, signal transduction by p53 class mediator, p:endocardial cushion morphogenesis, p:heart valve development, p:negative regulation of apoptotic process, p:negative regulation of cell population proliferation, p:negative regulation of protein catabolic process, p:negative regulation of transcription by rna polymerase ii, p:negative regulation of transcription, dna-templated, p:protein stabilization, p:protein-containing complex assembly, p:regulation of cell cycle, p:regulation of transcription by rna polymerase ii, p:ventricular septum development",RING,
44,Q86YT6,MIB1,"cytoplasm, cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite, cell membrane","c:centrosome, c:cytoplasm, c:cytoplasmic vesicle, c:cytosol, c:plasma membrane, c:postsynaptic density, f:ubiquitin-protein transferase activity, f:zinc ion binding, p:blood vessel development, p:endocytosis, p:heart looping, p:in utero embryonic development, p:negative regulation of neuron differentiation, p:neural tube formation, p:notch signaling pathway, p:positive regulation of endocytosis, p:protein ubiquitination, p:somitogenesis, p:ubiquitin-dependent protein catabolic process",RING,
45,O60291,MGRN1,early endosome,"c:cytoplasm, c:cytosol, c:early endosome, c:endoplasmic reticulum, c:extracellular exosome, c:intracellular membrane-bounded organelle, c:membrane, c:nucleus, c:plasma membrane, f:metal ion binding, f:ubiquitin protein ligase activity, f:ubiquitin-protein transferase activity, p:endosome to lysosome transport, p:negative regulation of camp-mediated signaling, p:negative regulation of g protein-coupled receptor signaling pathway, p:negative regulation of smoothened signaling pathway, p:protein monoubiquitination, p:protein polyubiquitination, p:protein ubiquitination",RING,
